EdgeID,Tension,stdError
336,1.339100,0.299520,Normal-Normal
337,2.011050,0.401131,Normal-Normal
338,1.609039,0.338693,Normal-Normal
339,1.330031,0.299383,Normal-Normal
340,2.660591,0.542215,Normal-Normal
341,2.262055,0.495076,Normal-Normal
342,2.903280,0.577457,Normal-Normal
343,1.585499,0.355226,Normal-Normal
344,1.600233,0.355472,Normal-Normal
345,1.669442,0.368899,Normal-Normal
346,0.404449,0.217544,Normal-Normal
347,0.275898,0.189405,Normal-Normal
348,1.442677,0.325942,Normal-Normal
349,1.431204,0.321835,Normal-Normal
350,1.105712,0.264451,Normal-Normal
351,1.258840,0.299300,Normal-Normal
352,2.048133,0.410775,Normal-Normal
353,1.615027,0.328492,Normal-Normal
354,1.866590,0.385487,Normal-Normal
355,1.595345,0.337946,Normal-Normal
357,2.027010,0.635212,Normal-Normal
358,1.886390,0.573762,Normal-Normal
360,1.349306,0.295666,Normal-Normal
361,1.924482,0.368933,Normal-Normal
362,2.456961,0.467296,Normal-Normal
364,4.132968,0.815928,Normal-Normal
365,2.185812,0.464065,Normal-Normal
367,1.789997,0.383678,Normal-Normal
368,1.190725,0.276016,Normal-Normal
369,0.857485,0.319769,Normal-Normal
370,3.934440,0.814183,Normal-Normal
372,1.374354,0.332197,Normal-Normal
373,1.303591,0.351767,Normal-Normal
374,1.283522,0.302340,Normal-Normal
378,5.393915,1.165754,Normal-Normal
379,5.504199,1.173881,Normal-Normal
380,5.095935,1.106504,Normal-Normal
383,2.037381,0.447502,Normal-Normal
384,1.226905,0.287467,Normal-Normal
386,1.271027,0.374910,Normal-Normal
387,2.376549,0.711872,Normal-Normal
388,1.317800,0.418143,Normal-Normal
390,1.857353,0.394612,Normal-Normal
391,1.776695,0.362616,Normal-Normal
392,1.755898,0.429321,Normal-Normal
394,3.489539,0.681655,Normal-Normal
395,2.183801,0.489912,Normal-Normal
396,2.736033,0.594136,Normal-Normal
398,2.063865,0.472574,Normal-Normal
399,2.018314,0.505100,Normal-Normal
400,0.857342,0.299455,Normal-Normal

CellID,Pressures,stdError
2,-0.029846,0.021573,Normal
3,-0.042069,0.022217,Normal
4,-0.022759,0.021815,Normal
7,-0.016088,0.014792,Normal
8,-0.018917,0.014514,Normal
9,-0.003759,0.017727,Normal
10,-0.030021,0.016975,Normal
11,-0.018952,0.012572,Normal
12,-0.022759,0.012983,Normal
13,-0.005481,0.013648,Normal
14,-0.022121,0.017095,Normal
15,0.005018,0.022461,Normal
16,-0.009539,0.012073,Normal
17,-0.027836,0.012690,Normal
18,-0.024489,0.011743,Normal
19,-0.005426,0.014041,Normal
20,-0.031728,0.022019,Normal
21,-0.021179,0.011198,Normal
22,-0.031728,0.013322,Normal
23,-0.011172,0.011429,Normal
24,-0.009727,0.012137,Normal
25,0.009319,0.017385,Normal
26,-0.009805,0.011471,Normal
27,-0.026814,0.010733,Normal
28,-0.007485,0.016812,Normal
29,-0.016428,0.011058,Normal
30,-0.021402,0.012717,Normal
31,-0.018271,0.011900,Normal
32,-0.018673,0.010560,Normal
33,-0.019295,0.010402,Normal
34,-0.006463,0.011235,Normal
35,-0.016356,0.014175,Normal
36,-0.005329,0.016608,Normal
37,-0.027525,0.010669,Normal
38,-0.020258,0.010045,Normal
39,-0.012364,0.010364,Normal
40,-0.023414,0.011252,Normal
41,-0.010991,0.011934,Normal
42,-0.012653,0.009946,Normal
43,-0.000354,0.009827,Normal
44,-0.007396,0.010626,Normal
45,-0.007383,0.021837,Normal
46,-0.007383,0.013019,Normal
47,-0.019481,0.010140,Normal
48,-0.013420,0.016139,Normal
49,-0.011536,0.009548,Normal
50,-0.015687,0.010819,Normal
51,-0.009956,0.009892,Normal
52,0.028612,0.011422,Normal
53,-0.016764,0.009517,Normal
54,-0.009006,0.013648,Normal
55,-0.004408,0.010296,Normal
56,-0.016533,0.009746,Normal
57,-0.000284,0.009431,Normal
58,0.030111,0.015804,Normal
59,-0.002855,0.009231,Normal
60,-0.004628,0.010303,Normal
61,-0.000377,0.010966,Normal
62,0.000784,0.009626,Normal
63,-0.000532,0.009287,Normal
64,-0.012698,0.013261,Normal
65,0.000718,0.010705,Normal
66,0.000557,0.009601,Normal
67,0.002682,0.009183,Normal
68,-0.010760,0.013486,Normal
69,-0.039758,0.021232,Normal
70,-0.006729,0.009131,Normal
71,-0.001324,0.010581,Normal
72,-0.006338,0.010389,Normal
73,-0.003370,0.009311,Normal
74,-0.005559,0.009085,Normal
75,-0.021279,0.011977,Normal
76,-0.001021,0.009212,Normal
77,-0.022133,0.021219,Normal
